Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Akodon_kofordi,Rodentia,Cricetidae,NA,1.469822015978163,mam
Akodon_leucolimnaeus,Rodentia,Cricetidae,NA,1.4593924877592308,mam
Akodon_lindberghi,Rodentia,Cricetidae,NA,1.421603926869831,mam
Akodon_lutescens,Rodentia,Cricetidae,NA,1.3159703454569178,mam
Akodon_mimus,Rodentia,Cricetidae,NA,1.380211241711606,mam
Akodon_molinae,Rodentia,Cricetidae,NA,1.5185139398778875,mam
Akodon_mollis,Rodentia,Cricetidae,NA,1.4828735836087537,mam
Akodon_montensis,Rodentia,Cricetidae,NA,1.6444385894678386,mam
Akodon_mystax,Rodentia,Cricetidae,NA,1.2671717284030137,mam
Akodon_neocenus,Rodentia,Cricetidae,NA,1.6273658565927327,mam
Akodon_oenos,Rodentia,Cricetidae,NA,1.3944516808262162,mam
Akodon_orophilus,Rodentia,Cricetidae,NA,1.591064607026499,mam
Akodon_paranaensis,Rodentia,Cricetidae,NA,1.6053050461411094,mam
Akodon_pervalens,Rodentia,Cricetidae,NA,1.787460474518415,mam
Akodon_philipmyersi,Rodentia,Cricetidae,NA,1.271841606536499,mam
Akodon_reigi,Rodentia,Cricetidae,NA,1.615950051656401,mam
Akodon_sanctipaulensis,Rodentia,Cricetidae,NA,1.4329692908744058,mam
Akodon_serrensis,Rodentia,Cricetidae,NA,1.4517864355242902,mam
Akodon_siberiae,Rodentia,Cricetidae,NA,1.5390760987927767,mam
Akodon_simulator,Rodentia,Cricetidae,NA,1.6283889300503116,mam
Akodon_spegazzinii,Rodentia,Cricetidae,NA,1.4563660331290431,mam
Akodon_subfuscus,Rodentia,Cricetidae,NA,1.4828735836087537,mam
Akodon_surdus,Rodentia,Cricetidae,NA,1.591064607026499,mam
Akodon_sylvanus,Rodentia,Cricetidae,NA,1.591064607026499,mam
Akodon_toba,Rodentia,Cricetidae,NA,1.7092699609758308,mam
Akodon_torques,Rodentia,Cricetidae,NA,1.591064607026499,mam
Akodon_varius,Rodentia,Cricetidae,NA,1.6020599913279623,mam
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,NA,5.232999919976163,mam
Alces_alces,Cetartiodactyla,Cervidae,NA,5.552665783083071,mam
Allactaga_balikunica,Rodentia,Dipodidae,NA,1.8603380065709938,mam
Allactaga_bullata,Rodentia,Dipodidae,NA,1.9395192526186185,mam
Allactaga_elater,Rodentia,Dipodidae,NA,1.7708520116421442,mam
Allactaga_euphratica,Rodentia,Dipodidae,NA,1.845098040014257,mam
Allactaga_firouzi,Rodentia,Dipodidae,NA,1.9938769149412112,mam
Allactaga_hotsoni,Rodentia,Dipodidae,NA,1.8836614351536176,mam
Allactaga_major,Rodentia,Dipodidae,NA,2.5440680443502757,mam
