Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Cricetulus_migratorius,Rodentia,Cricetidae,2.345256072776664,1.5854607295085006,density
Crocidura_fuscomurina,Eulipotyphla,Soricidae,2.1320033929866318,0.5910646070264992,density
Crocidura_hildegardeae,Eulipotyphla,Soricidae,2.5406047327471906,0.9777236052888477,density
Crocidura_hirta,Eulipotyphla,Soricidae,1.644635503768153,1.1986570869544226,density
Crocidura_russula,Eulipotyphla,Soricidae,3.9469432706978256,1.0606978403536116,density
Crocidura_suaveolens,Eulipotyphla,Soricidae,3.7436398767956383,0.7160033436347992,density
Equus_zebra,Perissodactyla,Equidae,0.12057393120584989,5.457879929541988,density
Eremitalpa_granti,Afrosoricida,Chrysochloridae,1.570659670021534,1.416640507338281,density
Erethizon_dorsatum,Rodentia,Erethizontidae,0.5428254269591799,3.850358243515907,density
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,2.089905111439398,2.8870543780509568,density
Erythrocebus_patas,Primates,Cercopithecidae,-0.585026652029182,3.9079485216122722,density
Equus_africanus,Perissodactyla,Equidae,0.48572142648158,5.511883360978874,density
Equus_quagga,Perissodactyla,Equidae,0.8450980400142568,5.440909082065217,density
Equus_grevyi,Perissodactyla,Equidae,0.35602585719312274,5.610659950200376,density
Equus_hemionus,Perissodactyla,Equidae,-0.16115090926274472,5.361727836017593,density
Genetta_genetta,Carnivora,Viverridae,0.2741578492636798,3.255272505103306,density
Dendrohyrax_arboreus,Hyracoidea,Procaviidae,1.3554515201265174,3.469822015978163,density
Dendrolagus_bennettianus,Diprotodontia,Macropodidae,1.4374334437979712,4.039414119176137,density
Bison_bison,Cetartiodactyla,Bovidae,-0.5528419686577808,5.762870016135253,density
Bison_bonasus,Cetartiodactyla,Bovidae,-0.05551732784983137,5.698970004336019,density
Blarina_brevicauda,Eulipotyphla,Soricidae,2.9651687630339536,1.4471580313422192,density
Blarina_carolinensis,Eulipotyphla,Soricidae,2.7993336558356656,1.130333768495006,density
Baiomys_taylori,Rodentia,Cricetidae,3.391815161765935,0.9030899869919435,density
Blastocerus_dichotomus,Cetartiodactyla,Cervidae,-0.9208187539523752,4.937849754736111,density
Brachylagus_idahoensis,Lagomorpha,Leporidae,2.9369458113395797,2.6245914591268478,density
Brachyteles_arachnoides,Primates,Atelidae,0.7395723444500919,4.130330551486929,density
Crocidura_olivieri,Eulipotyphla,Soricidae,1.859498558187776,1.7634279935629373,density
Cephalophus_jentinki,Cetartiodactyla,Bovidae,-1,4.8450999012723335,density
Cephalophus_natalensis,Cetartiodactyla,Bovidae,0.8401060944567578,4.079181246047625,density
Dendrolagus_lumholtzi,Diprotodontia,Macropodidae,2.06513137214021,3.829303772831025,density
Dendromus_mesomelas,Rodentia,Nesomyidae,3.243987494594441,1.0453229787866574,density
Dendromus_mystacalis,Rodentia,Nesomyidae,3.015506451739575,0.8864907251724818,density
Desmodillus_auricularis,Rodentia,Muridae,3.1023513671690215,1.7267272090265722,density
Dicerorhinus_sumatrensis,Perissodactyla,Rhinocerotidae,0.021189299069938092,6.102662456185154,density
Diceros_bicornis,Perissodactyla,Rhinocerotidae,-0.958607314841775,6.072070001400344,density
Dicrostonyx_groenlandicus,Rodentia,Cricetidae,2.7144722654394453,1.73559889969818,density
Didelphis_albiventris,Didelphimorphia,Didelphidae,2.6020599913279625,2.9561684304753633,density
Didelphis_aurita,Didelphimorphia,Didelphidae,1.655330558009341,3.06595298031387,density
Didelphis_marsupialis,Didelphimorphia,Didelphidae,1.8481891169913987,3.037904357312404,density
Didelphis_virginiana,Didelphimorphia,Didelphidae,1.2571984261393445,3.3415334414404065,density
Elephantulus_rufescens,Macroscelidea,Macroscelididae,2.3010299956639813,1.5740312677277188,density
Elephas_maximus,Proboscidea,Elephantidae,-0.27572413039921095,6.464644518498151,density
Eliomys_quercinus,Rodentia,Gliridae,2.1700562572508,2.060697840353612,density
