(Intercept),log10BM,random.effect,tree,chain
4.779080834516208,-0.6036388670838733,-1.3621190831078525,4,1
2.8548398420389276,-0.7011536496283952,0.8432399807290808,4,1
2.411490205852246,-0.5842979926965199,0.9980520879523842,4,1
4.056450281539583,-0.5829085265932008,-0.6654463537012779,4,2
1.7940008370642317,-0.5135506205078855,1.4774361067965585,4,2
1.86424803649561,-0.5536816857202211,1.4730453403851984,4,2
1.3591659900557715,-0.551072111731628,2.046286168844061,4,3
5.053737391601317,-0.6491369382638368,-1.5125397956737583,4,3
2.677854430548905,-0.5399588540167315,0.63729127185494,4,3
3.774799027480185,-0.5278049784974428,-0.44645418885625465,3,1
2.0909689404070377,-0.5154310120997252,1.1540654736426479,3,1
2.1763548299786635,-0.5772356353991199,1.2426371420584907,3,1
3.8925365403847536,-0.524710072488233,-0.5668284490104759,3,2
4.052151946938466,-0.5808519445708953,-0.6423671034001038,3,2
1.5105343422048918,-0.5826921696607315,1.937532412962731,3,2
3.3098965605131525,-0.6168236460798653,0.2629101239043468,3,3
3.3194166583998594,-0.5531910770805553,0.06093355534230214,3,3
2.1405626459163614,-0.5200620751779752,1.1369172588303262,3,3
5.846552420116495,-0.5757325389713515,-2.4200314929111504,1,1
5.538717161602108,-0.6251614089196664,-1.9077563757800942,1,1
3.6170862157887314,-0.5129777769034263,-0.339608886416245,1,1
1.8499749371985672,-0.4699084517196752,1.2673562663789246,1,2
2.174500036984682,-0.49812899214884965,1.023227035659019,1,2
3.2137232374807354,-0.5662268785781635,0.1858803409816008,1,2
3.601435416341701,-0.5890088974701939,-0.1650491249791821,1,3
4.123766750781215,-0.5602203624439426,-0.7293448661930213,1,3
3.434060231298645,-0.5492489452299196,-0.06088220419967725,1,3
3.5782100108481245,-0.5404508280771552,-0.23066830590522092,6,1
2.873499691959296,-0.6177955424063839,0.6893721750995979,6,1
1.8900548859819537,-0.5988627405076841,1.6062652041657175,6,1
4.304253683323623,-0.5859933263855055,-0.8674425530515314,6,2
4.411628161833505,-0.5472382390871644,-1.048491062936974,6,2
3.637957285332959,-0.47558868558553513,-0.4671741751535149,6,2
2.7601614583618357,-0.6278250889608898,0.8130486759467441,6,3
4.268031608257388,-0.5758618942199973,-0.7653594417141557,6,3
4.738151762947382,-0.5246328681096202,-1.4333658654727666,6,3
1.789414592905814,-0.5890545224538073,1.6712215980599536,5,1
2.5452197119175253,-0.5720528669280611,0.8471580851108471,5,1
4.5843432856636355,-0.48485990114568267,-1.3936952396231137,5,1
2.4686358676990494,-0.5634581122154714,0.8736878601615344,5,2
2.2913842133930302,-0.5663147481391206,1.116950487201941,5,2
4.5403160615533125,-0.47909204120514914,-1.3899239047333332,5,2
2.419796985515859,-0.5620673610719678,1.0295028652309641,5,3
2.4896583284134977,-0.46145930505008437,0.659229195133388,5,3
2.799927501924685,-0.47640094740199856,0.37760405455757823,5,3
3.635207728628302,-0.5710087289626244,-0.2519603251142062,2,1
1.777155948599102,-0.523105929401936,1.5409165059378283,2,1
2.470518951129634,-0.5769006038608495,0.9271649082396516,2,1
4.651153562550462,-0.5102695325622335,-1.3987057263025704,2,2
2.1674865284512634,-0.3933712128055049,0.7521923690288778,2,2
2.9555045553133823,-0.5133528224105248,0.26422468211255357,2,2
3.657051179827249,-0.5021041967338533,-0.42720389251210494,2,3
2.218417795127607,-0.48845323126442963,0.9173858301696168,2,3
0.971829656205955,-0.4804862961609615,2.2454332365342395,2,3
3.671553307405702,-0.46272660518661723,-0.5109909573093966,10,1
-0.013036535878200084,-0.40753755504556466,2.9991749710886277,10,1
3.4686526083751232,-0.46710887979133986,-0.3672859578911123,10,1
1.4359643020434305,-0.5066148218757007,1.787389498283456,10,2
2.034551321508843,-0.562231351621449,1.304314107950124,10,2
2.541386651726498,-0.5129210024606436,0.7674614420260593,10,2
3.2493922371704684,-0.4766633978288155,-0.04235869189417653,10,3
2.0971200431522448,-0.5428068461769726,1.2493730732956354,10,3
3.115488995317719,-0.5240233548247488,0.1359403003638,10,3
3.1751589223422343,-0.6111661130998982,0.3462711982840417,8,1
4.954226081448724,-0.5939453173989477,-1.4160397590636105,8,1
4.364609195828962,-0.5004863066715188,-1.0909453106760243,8,1
1.8773794548864657,-0.4936514600994997,1.3218288435718681,8,2
2.2733142216093256,-0.5645830774737988,1.0890714572194728,8,2
4.21128779398714,-0.5581645930651575,-0.873588245552629,8,2
4.545656051195692,-0.595530672071618,-1.0164288680646316,8,3
2.0747384080605116,-0.4955206971208099,1.1650664395096184,8,3
1.8231582248117775,-0.37711158789898036,1.0538078832964866,8,3
2.4547082456265343,-0.5557012673816644,0.8571778630421749,9,1
4.032126432270161,-0.5330904951752018,-0.7416067839710216,9,1
0.5970506962330546,-0.4948752480195253,2.6439499387734946,9,1
