Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,2.6797084511722766,2.6734956324149017,0.30779074203796003,2.06391872166707,3.2844324471091078,478.3088881177751,471.5151294092671,115.85605109429804,1925.0075940196689
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,2.777623716199796,2.777406081016035,0.3464743378587492,2.0941412825951216,3.450926608174885,599.2716270554159,598.9713931757469,124.20563016671336,2824.402636177008
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,2.5655317202900134,2.564432422486496,0.3385642433240831,1.8999697575268384,3.2379264433394823,367.7322510707834,366.80261442242573,79.42729229141425,1729.5234042149937
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,2.4085225415969216,2.4095720971666093,0.35233477566549604,1.7107308200843505,3.0898848774860808,256.16662212201845,256.7864463546717,51.37251410790844,1229.9426951438236
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,2.598050267867499,2.598277777973398,0.4536080982452433,1.7181809986083434,3.508532677447347,396.3239045241785,396.5315777023044,52.26139506632986,3225.0219692355986
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.4289494234361237,2.4327349727987486,0.4609037444490316,1.5484707794927894,3.3398769909333446,268.5031737133463,270.8538248265504,35.35662314078756,2187.1420526254974
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,2.5126344621015244,2.516290151799588,0.4584351340866985,1.6397545149775579,3.4280729462194253,325.5625654617284,328.3145665587914,43.62691613210607,2679.6183687930807
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,2.5307573648564414,2.52878618776757,0.4609010216922463,1.607262949784877,3.4193674988009244,339.4355809983258,337.89844079871744,40.48209221093375,2626.4400897279897
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,2.493291704752931,2.4953728467167964,0.4608448075939224,1.5862593197693908,3.3960844010285296,311.3807101303888,312.87642939156046,38.57085977745383,2489.341051185747
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,2.503201534032779,2.5022232512501392,0.44668052916399303,1.635438828587508,3.3862822688705347,318.56754891268446,317.85075784724074,43.1955321396914,2433.7853292648942
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,2.5032133163083348,2.503371475085478,0.45896603029516936,1.5751866235442873,3.362839487491315,318.5761916694226,318.69222997679873,37.599894256196684,2305.8947870000243
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,2.958733862665421,2.964394553839015,0.26660361319462494,2.446443551357486,3.500406697288418,909.3558450814838,921.2861744379976,279.5397364359469,3165.240378263839
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,2.739906293809072,2.7476294618984185,0.2681575015706952,2.220547309239455,3.27957745334132,549.4223141496273,559.2802225011023,166.16796805736251,1903.6077022403438
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,2.7917305892464133,2.7947134856030753,0.2749022975996463,2.260154775780246,3.3398709292867785,619.0569294291702,623.3234784853979,182.03494871902652,2187.1115258973355
Abrothrix_lanosus,Rodentia,Cricetidae,1.5118833609788744,2.8047112761746016,2.807864108731924,0.27558520233345274,2.2741925278375126,3.3613679710412,637.8393025081198,642.4866510123995,188.01501246839246,2298.094964004901
Abrothrix_longipilis,Rodentia,Cricetidae,1.575187844927661,2.836521716860696,2.843328982169262,0.25521776145235203,2.3486414177881407,3.3487095135244593,686.3121965397091,697.1544151903103,223.1728799194207,2232.0787532853988
Abrothrix_olivaceus,Rodentia,Cricetidae,1.4313637641589874,2.9070129417368014,2.913787805450221,0.2555678592246277,2.41669283521834,3.4182053122239298,807.2590857673699,819.9508217445103,261.0314496271406,2619.421043884625
Abrothrix_sanborni,Rodentia,Cricetidae,1.3926969532596658,2.8772411837505523,2.8787814888235004,0.270419811043102,2.3624424532379455,3.4188076095641424,753.7740530069391,756.4521974612072,230.3787689409466,2623.05628422999
Acinonyx_jubatus,Carnivora,Felidae,4.669316880566112,-1.2608321901818564,-1.2628285995270738,0.2405266475287515,-1.7249145939575032,-0.7852485874835013,0.05484888580932118,0.054597329467582605,0.018840195543249283,0.16396509784353386
Acomys_airensis,Rodentia,Muridae,1.6839471307515121,3.0120992920329095,3.012585697075916,0.28022990261752206,2.4364075524660977,3.5320154182008965,1028.251358671182,1029.4036340307623,273.1539923690401,3404.202749916055
Acomys_cahirinus,Rodentia,Muridae,1.7201593034059568,3.0019735858320002,3.007619111810172,0.27121930302564146,2.5038797664368255,3.568425994826171,1004.5546905306257,1017.6984470522583,319.06544064920985,3701.91118270273
Acomys_cilicicus,Rodentia,Muridae,1.6283889300503116,3.025663985178681,3.0289666144812633,0.28600672400219995,2.478198127508454,3.6019829091982736,1060.8744381517815,1068.972700928003,300.74480038780257,3999.2901103493377
Acomys_cineraceus,Rodentia,Muridae,1.307496037913213,3.1785477942455183,3.181689681047863,0.2939062336303193,2.6192451330702,3.7652311262785565,1508.508613257467,1519.4614321711435,416.1454332417927,5824.130885210818
Acomys_dimidiatus,Rodentia,Muridae,1.5740312677277188,3.065854457440965,3.0688239136086626,0.2797860120891844,2.5425534045388276,3.643534601581112,1163.735968054501,1171.7201907031301,348.78147063084873,4400.830092101805
Acomys_ignitus,Rodentia,Muridae,1.380211241711606,3.135912585117861,3.134951158750793,0.2996279065073318,2.536820109527555,3.721514009484939,1367.4535565621397,1364.4296826531652,344.20732604048084,5266.402029959841
Acomys_johannis,Rodentia,Muridae,1.2671717284030137,3.197726422373591,3.1999499312305737,0.29620586305495367,2.6365972005069667,3.7874514727862527,1576.6177888857303,1584.7104844575474,433.1089920707605,6129.872943247988
Acomys_kempi,Rodentia,Muridae,1.3424226808222062,3.1206548866533144,3.1201621164326427,0.31358056197163703,2.523186198030638,3.7620865295153942,1320.246079919391,1318.7489183592913,333.5693955885201,5782.112396462757
Acomys_louisae,Rodentia,Muridae,1.3053513694466237,3.0573450184329802,3.0530602022539677,0.34916093499424844,2.3702200480729583,3.7427375524867963,1141.1560010195121,1129.9525387559343,234.54168887596768,5530.158164844724
Acomys_minous,Rodentia,Muridae,1.7958800173440752,2.9436255964933205,2.945692514651347,0.2877253072749953,2.3703226815751424,3.488010523867922,878.2650416489441,882.4548912589702,234.5971228741448,3076.1713559337736
Acomys_mullah,Rodentia,Muridae,1.4533183400470377,3.074676294430101,3.0776861265798807,0.3010261623155907,2.4978403988986417,3.6836037181542594,1187.6166959293928,1195.875935149607,314.65917444967846,4826.182251223729
Acomys_nesiotes,Rodentia,Muridae,1.7201593034059568,2.9784562888736064,2.982041888730043,0.2887231599039549,2.3887888976495733,3.5300315919260523,951.6040656872647,959.493172438996,244.7873087707656,3388.6880560938343
Acomys_percivali,Rodentia,Muridae,1.3424226808222062,3.116487041770208,3.1184056233793567,0.3142309903455119,2.486238442022801,3.7232687102631505,1307.6365218292015,1313.4260430695138,306.3645014384676,5287.723169508556
Acomys_russatus,Rodentia,Muridae,1.6972293427597176,3.034295922856149,3.0372085773142308,0.2757992160795801,2.4879333912677533,3.577512005135633,1082.1710780423105,1089.4531961427986,307.5625062955135,3780.175866394499
Acomys_seurati,Rodentia,Muridae,1.8524799936368563,2.928294229519703,2.927768402463957,0.2796859135372461,2.387393853013918,3.477970373373404,847.8015954542918,846.7757310528231,244.00226232048016,3005.8712416242806
Acomys_spinosissimus,Rodentia,Muridae,1.423245873936808,2.93216875549628,2.925650324408977,0.2769040764986699,2.388095018864181,3.4789656511399163,855.3990340450815,842.6560134880831,244.3965206956672,3012.7677314283906
Acomys_subspinosus,Rodentia,Muridae,1.3222192947339193,3.144482634734607,3.1437203709952635,0.27544399621159915,2.613737973432652,3.6964948553910078,1394.7058892083558,1392.2600803798462,410.90173347945483,4971.584844006829
Acomys_wilsoni,Rodentia,Muridae,1.2671717284030137,3.157689045666542,3.160097719841785,0.3150602107554824,2.5664257191546826,3.80916666670473,1437.768768897058,1445.765043213767,368.4900106799395,6444.16522104079
Aconaemys_fuscus,Rodentia,Octodontidae,2.125481265700594,3.1003223576775882,3.100083645140579,0.37690203342919293,2.3824381994880532,3.8436421571401453,1259.8602035977424,1259.167904247487,241.23382301742484,6976.573229231327
Aconaemys_porteri,Rodentia,Octodontidae,1.9637878273455553,3.1803938135857237,3.178193598644305,0.37597409928057635,2.42684765416224,3.8953998449315548,1514.9343520326647,1507.2788272126165,267.2068911178226,7859.589158849939
Aconaemys_sagei,Rodentia,Octodontidae,1.9845273133437926,3.1687199609598733,3.1673198218245635,0.37423603865605426,2.448273709241321,3.9026211916747817,1474.7552841798415,1470.0084182804762,280.72022884116905,7991.369130224175
Acratocnus_odontrigonus,Pilosa,Megalonychidae,4.361538971269279,1.502443141068361,1.5012367548515584,0.44984565565705326,0.6034864538239743,2.3661657777691576,31.80117312074508,31.71295818077057,4.013159805312847,232.3623594696799
Acratocnus_ye,Pilosa,Megalonychidae,4.328583449714202,1.5169734316959764,1.5162752552092333,0.4500770821308695,0.6274100863861041,2.3712235532263257,32.883151373604704,32.83033053433443,4.240431835727946,235.08426064518798
Acrobates_pygmaeus,Diprotodontia,Acrobatidae,1.0791812460476249,2.9631253527177703,2.966582447492775,0.3910424178540179,2.2008652844221768,3.7223676350974957,918.5976979444071,925.9391509172661,158.80540672158864,5276.763563049875
Addax_nasomaculatus,Cetartiodactyla,Bovidae,4.8450999012723335,0.4858385530995565,0.48895313857116857,0.24433915172796583,0.0252093251967187,0.9803033479649368,3.060825374948244,3.0828552847332267,1.0597643969624062,9.55659866557775
Aegialomys_galapagoensis,Rodentia,Cricetidae,2.062581984228163,2.5313574717218903,2.5392386457324325,0.22434250175113984,2.089913595611483,2.968674852458004,339.90493630968115,346.1295244809968,123.00240289343564,930.4110346202687
Aegialomys_xanthaeolus,Rodentia,Cricetidae,1.9020028913507294,2.5898306810939333,2.5941005741822813,0.23108675719595304,2.145951791080347,3.053846514758727,388.8934970644995,392.73587488388085,139.9431969808932,1132.0002291305623
Aepeomys_lugens,Rodentia,Cricetidae,1.568201724066995,2.7131940742597687,2.717022978862843,0.34796357903347597,2.044491677207012,3.4052919634810785,516.6471931153181,521.2222886570125,110.78773338771308,2542.6815015216735
Aepeomys_reigi,Rodentia,Cricetidae,1.608526033577194,2.68913566272561,2.6961952652413967,0.34592567651190775,2.0483462587196906,3.402036279254827,488.8050259521324,496.81564692598175,111.77540669385829,2523.6915829554514
Aepyceros_melampus,Cetartiodactyla,Bovidae,4.720160130632753,0.662247028320941,0.664169263671603,0.2826597311771818,0.11023525180959992,1.2107128684545634,4.594592806770953,4.614974053621089,1.2889475691637857,16.24474387812588
Aepyprymnus_rufescens,Diprotodontia,Potoroidae,3.5118833609788744,1.4256529694228346,1.4241003482286219,0.2839442723219166,0.8685289935791098,1.9773198736994702,26.647285157917114,26.552190068955316,7.388035840097852,94.91172653479555
Aeretes_melanopterus,Rodentia,Sciuridae,2.864748335629659,1.850368685777099,1.856333647915498,0.44932929724651716,0.9620562848724977,2.7309628224782214,70.8547036238264,71.83459505652861,9.16339240641456,538.2237062227072
Aeromys_tephromelas,Rodentia,Sciuridae,3.031408464251624,1.7711310544195293,1.772368655411402,0.4483209211043484,0.9207631500209705,2.6810657892244265,59.03792084577277,59.20640006426186,8.332266461769024,479.80612670074214
Aeromys_thomasi,Rodentia,Sciuridae,3.156851901070011,1.7040138120703996,1.7109506200148195,0.44697735937862804,0.8782965575581496,2.6249688341539934,50.58407492370785,51.39852073103044,7.5560801773085124,421.666242724661
Aethomys_bocagei,Rodentia,Muridae,2.0318122713303706,2.634366049559537,2.6341517290974212,0.24806878270686875,2.1720326147509588,3.141901328106726,430.88963723108765,430.6770494889125,148.60472376278133,1386.440793139983
Aethomys_chrysophilus,Rodentia,Muridae,1.8744818176994664,2.643816315255555,2.6382099331736395,0.23140437797938862,2.175058183292124,3.0887144925940815,440.3685703343499,434.720312405729,149.64361231776684,1226.6325715319492
Aethomys_granti,Rodentia,Muridae,1.6020599913279623,2.8641224677577846,2.8646894421177524,0.2509646344326629,2.380833989446357,3.3690826909900187,731.3452882454822,732.3006879308093,240.3443899726626,2339.2826027798596
Aethomys_hindei,Rodentia,Muridae,2.0149403497929366,2.6958508334437186,2.6988245393784647,0.23133881712141552,2.233330958106713,3.140535258612355,496.42178682511474,499.83255532257266,171.13189446566574,1382.0866073680415
