(Intercept),log10BM,random.effect,tree,chain
2.842154389596544,-0.5967496725643286,0.6875570358872383,2,1
2.772361833587638,-0.4202536601223983,0.405068320395412,2,1
2.700918235868812,-0.49557318479492096,0.6319493728428159,2,1
3.1604659558179264,-0.5290857055806555,0.29112942715795415,2,2
0.8636476973333629,-0.4756682081351755,2.4424676494039783,2,2
3.0203276061292854,-0.4689490270684473,0.2042275314886404,2,2
3.357751645889948,-0.557373682706384,0.1460354715194607,2,3
4.03368214101647,-0.5585296134995588,-0.5502108154245637,2,3
3.082731867529219,-0.45763400274154264,0.1574780642900163,2,3
3.473296013326035,-0.5299765738163842,-0.10651759428698454,3,1
3.392707389930365,-0.4779970862873597,-0.14875898037325377,3,1
3.3285043485520873,-0.4088457432226278,-0.2436461179447103,3,1
2.4382242950687214,-0.5015229163163895,0.8654400883009391,3,2
2.6561438268690836,-0.48545565688982606,0.6751998537608541,3,2
2.741208124312834,-0.5157737771369284,0.6000860467844549,3,2
2.309673192416085,-0.5144769867183641,1.0485216760095615,3,3
2.7948131491430104,-0.5470845791569445,0.6543411439110203,3,3
3.031979237784981,-0.4840167739948811,0.2638530441791503,3,3
3.1356943058890465,-0.43847573950188234,0.04996505743254496,1,1
2.8218031493452145,-0.47006620887987083,0.45560739150422797,1,1
1.7681030516105238,-0.5032867756672204,1.5722429303693346,1,1
3.2839854859994375,-0.5294635018508416,0.12106942470523646,1,2
3.5848096690315288,-0.5023576668381793,-0.27347653758010776,1,2
1.9347907016344834,-0.4729482858188021,1.2939534155137093,1,2
3.208006567816483,-0.4900296934447397,0.09852200694977534,1,3
1.9175554913526867,-0.4597785124715301,1.3417308428192278,1,3
2.6058894804937154,-0.5033525565449963,0.6945076515614298,1,3
1.8327277289063204,-0.42996570883406093,1.3271300985189707,6,1
2.035435904363112,-0.49747343674243893,1.2732624817235092,6,1
2.9195509463752387,-0.4491403417487163,0.2893744844526915,6,1
3.0184930490213446,-0.4791215588338673,0.17915982414474232,6,2
3.7441967083796044,-0.46861784327120404,-0.5094044741687357,6,2
1.5693503095099004,-0.5800867503767222,1.926893919021997,6,2
2.58475781713787,-0.5373834245838225,0.836168610362548,6,3
2.519609904047684,-0.43637042956834193,0.6066295335215737,6,3
2.6238932324631605,-0.4984877183928802,0.6897687428460862,6,3
2.897035284258891,-0.4307115743213217,0.2117932940869123,5,1
3.1074784100237594,-0.49182080018363195,0.17789111729713977,5,1
3.7803207404685963,-0.44909953798924107,-0.5721637665035654,5,1
2.8434105497872224,-0.5354086988954805,0.5101629048216232,5,2
2.3684017090999987,-0.503403493668884,0.9486784937965705,5,2
1.397987222939264,-0.4048975871410221,1.7100333904844158,5,2
2.6924811340522865,-0.4266171782219317,0.45421286900973584,5,3
1.6690544081793632,-0.4942987474714755,1.6297567105301476,5,3
1.9347431471323944,-0.4785016951027501,1.3580260383125435,5,3
4.029672821343411,-0.4873942023550626,-0.6917243429263266,4,1
2.375170372895809,-0.5174534901452716,0.9988000018676588,4,1
3.8190077914769063,-0.5574771549436264,-0.31755896816597995,4,1
3.4202265999338124,-0.5417480904143304,0.015197634705245053,4,2
3.238917634334939,-0.4372802512261842,-0.08493967618089508,4,2
3.3474793192290235,-0.4700272379850503,-0.1075801121655531,4,2
3.0918374522989325,-0.48117237698170356,0.19578518342479317,4,3
2.8840084762341576,-0.5660004148230655,0.5741971959513272,4,3
2.2704248951922636,-0.5323702314999537,1.1695970278884866,4,3
3.0051170743536204,-0.4821416742634028,0.32939990952350273,8,1
2.2448319956957903,-0.4977553979915683,1.071176649191647,8,1
2.652976140510873,-0.4757269604015164,0.5749216585632678,8,1
3.0442130405135686,-0.532832887605764,0.3539639485995573,8,2
4.932577457468142,-0.5650281246344093,-1.4610775677277827,8,2
2.4677675520579214,-0.5415157261595596,0.9766230387462922,8,2
2.220586146955611,-0.38991756789619103,0.8626802846232504,8,3
3.8066617245494854,-0.6206578820274444,-0.17246570616167764,8,3
3.5315462040889543,-0.4401371412386652,-0.36766918779123436,8,3
3.5804694581165677,-0.5574102991085965,-0.11502238640795194,7,1
2.6447168280137703,-0.4919402881496353,0.666925395817757,7,1
3.765051143913297,-0.44835593886091374,-0.5444938009761526,7,1
3.149089879458188,-0.46892038792793755,0.09464853106303477,7,2
2.827775181074685,-0.500062336512201,0.4664823817864675,7,2
2.8993719236459583,-0.4884448612574488,0.3337419044485267,7,2
2.9450544265273493,-0.5528489021817222,0.4935457523823218,7,3
2.2880104208015837,-0.5172587759734597,1.105789881474773,7,3
1.927575711728423,-0.47175914599210955,1.335500356424096,7,3
2.6998830381853622,-0.4797204881106154,0.5636024853452297,9,1
3.020235707885149,-0.5323160223051673,0.39717738400881825,9,1
2.4309950984315947,-0.4611461713502649,0.7738023434723182,9,1
3.4729258379957173,-0.5201690557296388,-0.08664011421537172,9,2
2.584985432346002,-0.5035560260002967,0.726839355475731,9,2
3.540240789319796,-0.4885311197140254,-0.23054485778601672,9,2
