Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,source
Cercopithecus_mitis,Primates,Cercopithecidae,1.8475109652032482,3.6989700043360187,PanTHERIA.2008
Cercopithecus_neglectus,Primates,Cercopithecidae,1.4628470358316736,3.738780558484369,PanTHERIA.2008
Cercopithecus_nictitans,Primates,Cercopithecidae,1.3521825181113625,3.763675021878834,PanTHERIA.2008
Cercopithecus_petaurista,Primates,Cercopithecidae,1.4141373621844766,3.443262987458695,PanTHERIA.2008
Cercopithecus_denti,Primates,Cercopithecidae,1.2796669440484556,3.6074550232146687,PanTHERIA.2008
Cerdocyon_thous,Carnivora,Canidae,0.5490032620257879,3.7193312869837265,PanTHERIA.2008
Cervus_elaphus,Cetartiodactyla,Cervidae,0.4623979978989561,5.1180993120779945,PanTHERIA.2008
Cervus_nippon,Cetartiodactyla,Cervidae,-0.12493873660829995,4.724275869600789,PanTHERIA.2008
Chaetodipus_baileyi,Rodentia,Heteromyidae,3.550046033445052,1.421603926869831,PanTHERIA.2008
Chaetodipus_fallax,Rodentia,Heteromyidae,2.7011360660925265,1.271841606536499,PanTHERIA.2008
Chaetodipus_intermedius,Rodentia,Heteromyidae,2.6285626131087763,1.2174839442139063,PanTHERIA.2008
Chaetodipus_nelsoni,Rodentia,Heteromyidae,2.675283293765738,1.1986570869544226,PanTHERIA.2008
Chaetodipus_penicillatus,Rodentia,Heteromyidae,2.2380209986759487,1.2278867046136734,PanTHERIA.2008
Cricetulus_migratorius,Rodentia,Cricetidae,2.345256072776664,1.5854607295085006,PanTHERIA.2008
Crocidura_fuscomurina,Eulipotyphla,Soricidae,2.1320033929866318,0.5910646070264992,PanTHERIA.2008
Crocidura_hildegardeae,Eulipotyphla,Soricidae,2.5406047327471906,0.9777236052888477,PanTHERIA.2008
Crocidura_hirta,Eulipotyphla,Soricidae,1.644635503768153,1.1986570869544226,PanTHERIA.2008
Crocidura_russula,Eulipotyphla,Soricidae,3.9469432706978256,1.0606978403536116,PanTHERIA.2008
Crocidura_suaveolens,Eulipotyphla,Soricidae,3.7436398767956383,0.7160033436347992,PanTHERIA.2008
Equus_zebra,Perissodactyla,Equidae,0.12057393120584989,5.380211241711606,PanTHERIA.2008
Eremitalpa_granti,Afrosoricida,Chrysochloridae,1.570659670021534,1.416640507338281,PanTHERIA.2008
Erethizon_dorsatum,Rodentia,Erethizontidae,0.5428254269591799,3.850358243515907,PanTHERIA.2008
Erignathus_barbatus,Carnivora,Phocidae,-2,5.447158031342219,PanTHERIA.2008
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,2.089905111439398,2.8870543780509568,PanTHERIA.2008
Erythrocebus_patas,Primates,Cercopithecidae,-0.585026652029182,3.9079485216122722,PanTHERIA.2008
Equus_africanus,Perissodactyla,Equidae,0.48572142648158,5.439332693830263,PanTHERIA.2008
Equus_quagga,Perissodactyla,Equidae,0.8450980400142568,5.243038048686294,PanTHERIA.2008
Equus_grevyi,Perissodactyla,Equidae,0.35602585719312274,5.544068044350276,PanTHERIA.2008
Equus_hemionus,Perissodactyla,Equidae,-0.16115090926274472,5.301029995663981,PanTHERIA.2008
Genetta_genetta,Carnivora,Viverridae,0.2741578492636798,3.255272505103306,PanTHERIA.2008
Dendrohyrax_arboreus,Hyracoidea,Procaviidae,1.3554515201265174,3.469822015978163,PanTHERIA.2008
Dendrolagus_bennettianus,Diprotodontia,Macropodidae,1.4374334437979712,4.039414119176137,PanTHERIA.2008
Bison_bison,Cetartiodactyla,Bovidae,-0.5528419686577808,5.762870016135253,PanTHERIA.2008
Bison_bonasus,Cetartiodactyla,Bovidae,-0.05551732784983137,5.698970004336019,PanTHERIA.2008
Blarina_brevicauda,Eulipotyphla,Soricidae,2.9651687630339536,1.4471580313422192,PanTHERIA.2008
Blarina_carolinensis,Eulipotyphla,Soricidae,2.7993336558356656,1.130333768495006,PanTHERIA.2008
Baiomys_taylori,Rodentia,Cricetidae,3.391815161765935,0.9030899869919435,PanTHERIA.2008
Blastocerus_dichotomus,Cetartiodactyla,Cervidae,-0.9208187539523752,4.937849754736111,PanTHERIA.2008
Brachylagus_idahoensis,Lagomorpha,Leporidae,2.9369458113395797,2.6245914591268478,PanTHERIA.2008
Brachyteles_arachnoides,Primates,Atelidae,0.7395723444500919,4.130330551486929,PanTHERIA.2008
Crocidura_olivieri,Eulipotyphla,Soricidae,1.859498558187776,1.7634279935629373,PanTHERIA.2008
