(Intercept),log10BM,random.effect,tree,chain
3.1602179893961875,-0.5438482878380455,0.2743049382266442,13,1
2.3882984163501533,-0.38425546769576613,0.6845967835557306,13,2
3.3654695653094677,-0.5481977109011495,0.09685488353552356,13,3
1.444931911304593,-0.36657360970275477,1.5449744319916083,9,1
4.027018131756449,-0.4982230348887242,-0.7245934183352092,9,2
2.0813480761935352,-0.4661158078670269,1.1807814205736127,9,3
2.6313084769208217,-0.5304528559645405,0.7286141260962834,11,1
3.8815267827194475,-0.42284051730530336,-0.743121059678645,11,2
2.0103551585998503,-0.45463907370867673,1.1944049610185745,11,3
2.662686007010052,-0.5250049477472203,0.74762850548022175,7,1
2.4463937775290105,-0.5999630878504831,1.1133325234119489,7,2
3.531807146035135,-0.6308250089350622,0.13057192953401062,7,3
2.9204516417812556,-0.45849283871939406,0.3032695637020324,12,1
3.1310663670592476,-0.432193616132281,0.022915356182082656,12,2
3.775941243613488,-0.5005528980691452,-0.3998312402079429,12,3
3.8028351246648526,-0.5373132725071628,-0.3957621793117212,2,1
2.699709867622005,-0.43202250826288946,0.43639674446917265,2,2
2.0737725444632815,-0.430401518184226,1.0736038143052538,2,3
2.9636772169324104,-0.49655485507992125,0.3580044121152126,6,1
3.191491902456619,-0.4801834922109265,0.07131621944668945,6,2
2.3002492814866855,-0.5314846564433537,1.0891555689028862,6,3
1.9788109885994345,-0.4791789396549575,1.3043766986575225,15,1
3.12970773006964,-0.4768815464776708,0.16860625424196737,15,2
2.721316063296399,-0.5212076600146247,0.6389779114966464,15,3
2.5736559183424106,-0.5660009678394999,0.9367292804940879,19,1
3.520847462437814,-0.4904111670948623,-0.2278960907394146,19,2
3.4387766277395713,-0.5502845086848538,0.021388289391970152,19,3
3.2181101525347913,-0.5274209113558754,0.15342848949151563,8,1
3.6313323986541945,-0.5407403573772172,-0.187258021073871,8,2
2.181460343854269,-0.4855283046490513,1.027601632535893,8,3
3.109321581927361,-0.4967263619037112,0.20425231650797165,16,1
3.1002769527112832,-0.4854725651894114,0.1966604896154025,16,2
2.2770452963304706,-0.4843070969945984,1.005842475687029,16,3
2.4182197866321076,-0.43151631974615157,0.7146617171600596,5,1
2.1106610155984527,-0.5107734721023007,1.2759922733620954,5,2
2.627602647044114,-0.45020114040744375,0.5454968194683252,5,3
3.270305706828367,-0.39589153638735297,-0.20132774515104737,20,1
2.6010824236873304,-0.42429263568374154,0.5032435079287768,20,2
2.565666540656821,-0.4343605869271414,0.6068366160695813,20,3
3.3105766302905977,-0.5104925562191056,0.06174788438602542,10,1
3.0366510973326513,-0.47355249457177706,0.15608620970632284,10,2
3.829608348343754,-0.5209660980326589,-0.46369310862975727,10,3
2.862231537559637,-0.5328160829667468,0.5635945854675022,17,1
2.802127989612927,-0.4667933802520565,0.43166935436780535,17,2
2.362547779812303,-0.4268923103045381,0.7788252627007876,17,3
2.100519855193852,-0.4327270715148188,1.0470693745560453,3,1
2.0922131075931247,-0.5466285243019229,1.3649136593018787,3,2
2.3594707523589022,-0.5209976866462966,0.9927842532399455,3,3
4.42459119821433,-0.5426823796587996,-1.0020434590269425,4,1
3.2009214621721185,-0.5774246590735856,0.30780031822589116,4,2
3.2245564415934496,-0.5638494819431799,0.27989706743436776,4,3
3.2800353136481135,-0.5389867822523229,0.14733454083976197,1,1
2.835905295606608,-0.543373780004913,0.6002907235668552,1,2
2.7854688918596366,-0.511127911391668,0.5689492197161534,1,3
2.081959850336716,-0.47679450004943646,1.1928171402586576,18,1
3.2675171817318187,-0.46639300241076853,-0.05439203165544512,18,2
3.934307644100045,-0.5356001814216143,-0.5174416172629561,18,3
2.380370343627874,-0.5367475258462946,1.0308369681209053,14,1
2.7847777701244922,-0.5616261058312375,0.6276135207765955,14,2
2.3076108818495413,-0.5619438109224575,1.1118544461209496,14,3
2.8600888303190004,-0.48274629955994897,0.4374146497667347,21,1
2.8542439578159247,-0.467729187279474,0.3667557386823661,21,2
3.1933368920945213,-0.5176194328523707,0.1947251466149766,21,3
1.8342218900797889,-0.44887794292299077,1.3287437788146224,22,1
2.534397262861603,-0.5162839970810182,0.8294591900271743,22,2
2.2890310802904423,-0.5720093700074358,1.194321315262471,22,3
2.870968397925026,-0.4604886168381199,0.3796981728983285,26,1
2.757125380987418,-0.5640912256349111,0.7229256938403966,26,2
2.0863565951831333,-0.5177281918004155,1.2854643118512958,26,3
3.1339075730138575,-0.5223470721903141,0.2501502937206769,24,1
4.070934607487288,-0.5600323066087185,-0.6128796562904824,24,2
3.2919303404487437,-0.4934779098548461,0.004948076187134615,24,3
3.4440063798756455,-0.5555965854873648,0.003040067577786067,27,1
2.32330645089678,-0.4492359680662048,0.9003364807700304,27,2
3.284717129339697,-0.4054343933239579,-0.17736932559285065,27,3
2.7514711422409164,-0.5307744361052755,0.6666965590962727,30,1
3.726557826033968,-0.6103614485546132,-0.1662963265793545,30,2
2.865530144321383,-0.4267607348738238,0.2958405736010207,30,3
3.748312022385459,-0.5507140456429624,-0.2398087431031768,23,1
2.773774936707923,-0.44233741494099377,0.42098788471243126,23,2
3.0734254669077927,-0.5706593379727565,0.37425626988600136,23,3
4.313696539160446,-0.5394487529920298,-0.891497268633819,34,1
2.558545142550429,-0.48352813094243174,0.7484255705860143,34,2
3.749878336326219,-0.5378513513351209,-0.32898816299000594,34,3
2.03842640973744,-0.45842744899346144,1.2117761580387578,31,1
2.5594430357741658,-0.4301500717410818,0.6072470641522374,31,2
2.340169941612203,-0.441368282365147,0.8619477161506184,31,3
3.789716446532111,-0.4809793174154038,-0.49348365673764544,33,1
3.133659950530273,-0.5005444547568914,0.13199740514518057,33,2
2.5905453334125923,-0.5017894398042699,0.6866069822000623,33,3
4.021367834066041,-0.5385762931327918,-0.5868581023966885,36,1
3.0060494451900013,-0.5416707117074111,0.4151141256045933,36,2
3.368621034313037,-0.4734384518233128,-0.13624796201495662,36,3
