(Intercept),log10BM,random.effect,tree,chain
1.227886350461631,-0.48740171570534585,1.9529812270922038,1,1
1.591120049386518,-0.5576083314663265,1.796140088637002,1,2
3.2521472247317433,-0.5623226851967047,0.1251246089813686,1,3
0.9914435102546122,-0.4537654904779629,2.075117216798367,2,1
1.4665225123171695,-0.5223755128972698,1.7999246532567332,2,2
3.3898451709537767,-0.612715352937812,0.12612567639190156,2,3
0.9718351488700137,-0.4252184364813729,2.041374155735921,5,1
1.5099697736441158,-0.524877022500732,1.7735969628341484,5,2
3.2977451884944458,-0.6934835511856363,0.44617240915965906,5,3
1.267752992847818,-0.5072534421124146,1.9457547303594465,4,1
1.8779768185631838,-0.5593685481726425,1.496147341891717,4,2
3.527186176070245,-0.6524380875416682,0.13309859961174056,4,3
1.1416518346377416,-0.4559224528275081,1.8827564596501574,3,1
1.5840044208453037,-0.5434022034460213,1.772188475106893,3,2
3.5508815706707537,-0.6513929388675024,0.03131063620140008,3,3
1.4504361495783087,-0.4892653062051977,1.6983225162650775,6,1
1.904373434430454,-0.5742882760241628,1.5014076633371558,6,2
3.329728538810741,-0.5767711372463964,0.14812904046440353,6,3
-0.8645886752346996,-0.49405994140397524,4.091605406255758,8,1
2.118665352842072,-0.4816428345948225,1.0293818915401485,8,2
3.41749299375806,-0.6234466843525297,0.09809288902632617,8,3
1.2748845502210315,-0.5277925784976105,1.9479212827729149,9,1
1.3988519948616158,-0.5107975031569367,1.8473906119587846,9,2
3.437031162320636,-0.5545572377959616,-0.08882376769310948,9,3
1.0653775200917153,-0.4269145814687363,1.9311368711438928,7,1
1.270586940314388,-0.42692169835208915,1.7330233984406866,7,2
3.255996355204843,-0.6382187009439804,0.32692341261551794,7,3
1.0476764743798412,-0.44478580287250225,2.0094874299287016,10,1
1.589948275766801,-0.47834158611658495,1.567854777008249,10,2
3.347736727067968,-0.6126571228596731,0.1798022135811572,10,3
1.0115438014327083,-0.4674094432994025,2.0899545015177097,11,1
1.5158570307539776,-0.5345661069150083,1.8002411133626277,11,2
3.6636950325919315,-0.6332051608696929,-0.08446524863899806,11,3
1.051235818056739,-0.4230712050193688,1.9524161386906964,12,1
1.1966550039651338,-0.4504726311424747,1.8973684553302792,12,2
2.7530252791766543,-0.5206869569301489,0.5486017234348557,12,3
0.9505191150965402,-0.47987416929390747,2.2022798538434323,14,1
1.4115812818345148,-0.5307057326135691,1.8708663081792711,14,2
3.625893079821253,-0.6817479158416972,0.07083896455363241,14,3
0.601494752758299,-0.3700587587300106,2.259194825345749,13,1
1.353057884669397,-0.4504028634983115,1.7297932757463157,13,2
3.5249951411387883,-0.6091938276367728,-0.053844642578798424,13,3
1.4657944019854767,-0.49313021525449585,1.690538125297372,15,1
1.5171335775521584,-0.5162661348149413,1.7223380976301692,15,2
3.4499437651247717,-0.6091742261996842,0.08278579435370528,15,3
1.0564758694381453,-0.41295710620761383,1.911282641234067,18,1
1.667914181627566,-0.5370808008738095,1.6596209782299711,18,2
