Binomial.1.2,log10dens.est,se.fit,log10dens.est_CIlwr,log10dens.est_CIupr,log10dens.est_PIlwr,log10dens.est_PIupr,dens.est,dens.est_CIlwr,dens.est_CIupr
Abditomys_latidens,2.716044621354892,0.07482846969076797,2.5691875438379452,2.862901698871839,1.4462978517505536,3.9857913909592306,520.0494259895594,370.840829498976,729.2924186300177
Abeomelomys_sevia,2.8448725490507116,0.04856733154142717,2.749555133066584,2.9401899650348393,1.5800503214259256,4.109694776675497,699.6366458452205,561.7655891714322,871.3446420445912
Abrawayaomys_ruschii,2.829830621870782,0.05095026869621547,2.729836494096276,2.9298247496452876,1.5646473611163492,4.0950138826252145,675.8193493349087,536.8296493347771,850.7946487334063
Abrocoma_bennettii,2.4548718008159782,0.0640600886599023,2.3291485641261542,2.580595037505802,1.1873954933657758,3.7223481082661807,285.0176800963492,213.37747132585824,380.7106601401566
Abrocoma_boliviensis,2.5700432944106613,0.06443194222435814,2.443590264261664,2.6964963245596585,1.302494389422101,3.8375921993992215,371.57226894282974,277.70919800996353,497.160166233922
Abrocoma_budini,2.362861868186306,0.06394741187313945,2.237359769035127,2.4883639673374853,1.09540747666163,3.630316259710982,230.60136207864062,172.72681663956334,307.86758667295464
Abrocoma_cinerea,2.4548718008159782,0.0640600886599023,2.3291485641261542,2.580595037505802,1.1873954933657758,3.7223481082661807,285.0176800963492,213.37747132585824,380.7106601401566
Abrocoma_famatina,2.4721167320192072,0.06409949633452214,2.3463161544997453,2.597917309538669,1.2046327506576815,3.739600713380733,296.56284000445567,221.98117940027507,396.2025893777164
Abrocoma_shistacea,2.4297660338138902,0.06401302113846784,2.3041351710383315,2.555396896589449,1.1622988857640617,3.6972331818637185,269.0085191823249,201.43511046192822,359.25009908510737
Abrocoma_uspallata,2.459124281805643,0.06406927142690322,2.333383023174025,2.584865540437261,1.1916461866000108,3.7266023770112753,287.8221956039094,215.46812039653815,384.4727290969864
Abrocoma_vaccarum,2.450591451263628,0.06405119957051751,2.3248856601489205,2.5762972423783355,1.1831168741522726,3.7180660283749836,282.22238083733953,211.29326795243057,376.9617130604851
Abrothrix_andinus,2.9280320413164898,0.041491250028884236,2.846602022141333,3.0094620604916464,1.6641805050486016,4.1918835775843775,847.2899230700633,702.4283350703274,1022.026273561697
Abrothrix_illutea,2.8514742248002545,0.04760772806780442,2.758040110215898,2.944908339384611,1.5867925290870615,4.116155920513448,710.3530095914927,572.848935257954,880.8629416557596
Abrothrix_jelskii,2.8770338684174916,0.04446349186704813,2.7897705781380324,2.964297158696951,1.6127930924834801,4.141274644351503,753.4143163928744,616.2693633334501,921.0795894109833
Abrothrix_lanosus,2.8817151319632637,0.043996153204423634,2.795369032566998,2.9680612313595294,1.6175373333191079,4.1458929306074195,761.579301239886,624.26506623462,929.0973713705265
Abrothrix_longipilis,2.8702890056807084,0.04519873051030197,2.7815827485883236,2.9589952627730933,1.6059478105315608,4.134630200829856,741.8037179180462,604.7595686350528,909.9033474724613
Abrothrix_olivaceus,2.8962484955434595,0.04278267012726634,2.8122839573238965,2.9802130337630226,1.6322311296096448,4.160265861477274,787.4962520956168,649.0586727038315,955.4611518882219
Abrothrix_sanborni,2.9032276514692352,0.042334094850427904,2.820143479432157,2.9863118235063135,1.639268460139499,4.167186842798971,800.2536275344307,660.9117597418227,968.973329559429
Acinonyx_jubatus,-1.2105353138704948,0.172052394245717,-1.5482024063974036,-0.872868221343586,-2.516180335719623,0.09510970797863338,0.06158354515332094,0.028300727104961617,0.13400832493050055
Acomys_airensis,2.8506585268155917,0.047723260966250916,2.756997669336545,2.9443193842946385,1.5859600592243857,4.115356994406798,709.0200667776121,571.4755698108881,879.6691961122422
Acomys_cahirinus,2.8441224201781834,0.04867984531206966,2.7485841865880665,2.9396606537683003,1.5792835325006442,4.108961307855722,698.42925157897,560.5110600994967,870.2833078344072
Acomys_cilicicus,2.8606864897282507,0.0463651849823484,2.7696909689969162,2.951682010459585,1.5961826176515372,4.125190361804965,725.5819822527991,588.4248008090584,894.7094212311056
Acomys_cineraceus,2.918605968413188,0.04167028323820265,2.8368245817169844,3.000387355109392,1.6547317448791419,4.182480191947235,829.0981926215798,686.7909784448862,1000.8923159778127
Acomys_dimidiatus,2.870497761780083,0.04517490802471369,2.781838258291335,2.9591572652688307,1.6061598460064928,4.1348356775536725,742.1603728631895,605.1154732304283,910.2428270557258
Acomys_ignitus,2.9054812567113393,0.04220857026428962,2.822643437084687,2.9883190763379917,1.6415382350270813,4.1694242783955975,804.4170307590222,664.7271801527468,973.4621641715756
Acomys_johannis,2.9258842941174636,0.041516580690409484,2.844404561418316,3.007364026816611,1.6620295538310021,4.189739034403925,843.1101042191793,698.8831365033572,1017.1008723903598
Acomys_kempi,2.912301893131148,0.04188736996824268,2.830094455723589,2.994509330538707,1.648400029666681,4.176203756595615,817.1502033748118,676.230034252575,987.4368499670844
Acomys_louisae,2.918993069787449,0.04165948121013502,2.8372328829671725,3.0007532566077257,1.6551202178546605,4.1828659217202375,829.837525356029,687.4369674804561,1001.735942442746
Acomys_minous,2.830455229709305,0.05084623483586907,2.730665277013568,2.930245182405042,1.5652880896195651,4.095622369799045,676.7920205910582,537.8550826688036,851.6186866970271
Acomys_mullah,2.8922858101074684,0.043076829445725426,2.807743959829917,2.9768276603850197,1.6282299639708404,4.156341656244097,780.3434872597117,642.3089296922212,948.0421802643085
Acomys_nesiotes,2.8441224201781834,0.04867984531206966,2.7485841865880665,2.9396606537683003,1.5792835325006442,4.108961307855722,698.42925157897,560.5110600994967,870.2833078344072
Acomys_percivali,2.912301893131148,0.04188736996824268,2.830094455723589,2.994509330538707,1.648400029666681,4.176203756595615,817.1502033748118,676.230034252575,987.4368499670844
Acomys_russatus,2.8482611574311383,0.048067820694697776,2.7539240729096455,2.942598241952631,1.5835124301260461,4.113009884736231,705.1169545659584,567.4453910604667,876.1898985331462
Acomys_seurati,2.8202392317835634,0.05259883450712284,2.7170096568846582,2.9234688066824686,1.5547961462053763,4.0856823173617505,661.0574922679413,521.2063004145868,838.4338557227254
Acomys_spinosissimus,2.8977137320170967,0.0426810767071995,2.813948579309861,2.9814788847243325,1.633709594954286,4.161717869079908,790.1576188618308,651.5512454909724,958.250125321952
Acomys_subspinosus,2.9159484980219914,0.041752359307860754,2.8340060302322696,2.997890965811713,1.6520638412074131,4.17983315483657,824.0403881750351,682.3481685640951,995.1555417414123
Acomys_wilsoni,2.9258842941174636,0.041516580690409484,2.844404561418316,3.007364026816611,1.6620295538310021,4.189739034403925,843.1101042191793,698.8831365033572,1017.1008723903598
Aconaemys_fuscus,2.612333765446424,0.06463215656092938,2.485487798057532,2.739179732835316,1.3447456000130849,3.879921930879763,409.57530699116364,305.8354317747388,548.5039163822672
Aconaemys_porteri,2.7057811850210816,0.06519368156080498,2.577833178250986,2.833729191791177,1.4380822656635417,3.9734801043786216,507.9034759403839,378.29724478576287,681.9133483734867
Aconaemys_sagei,2.6937952227609157,0.06511258884799954,2.5660063671649618,2.8215840783568695,1.4261123565367335,3.961478088985098,494.0776660266838,368.134370798568,663.107711287155
Acratocnus_odontrigonus,0.6339397743939608,0.04101287399679405,0.5534486078549362,0.7144309409329853,-0.6298516188330416,1.8977311676209632,4.304669115331268,3.57642076573327,5.181206968159311
Acratocnus_ye,0.6529857448513199,0.04066483173463475,0.5731776401159688,0.7327938495866709,-0.6107623278614671,1.9167338175641069,4.4976509169977374,3.7426364258064213,5.404976992071011
Acrobates_pygmaeus,2.7448790511459236,0.05897393301743583,2.629137816714541,2.860620285577306,1.4783539266215284,4.011404175670319,555.7494622543029,425.7334917152293,725.4713824641727
Addax_nasomaculatus,0.35447561322814725,0.04693718813639223,0.2623574888690692,0.4465937375872253,-0.9101095387245668,1.6190607651808613,2.26191152395127,1.8296056336742712,2.7963642262671415
Aegialomys_galapagoensis,2.7823169279124107,0.05991864409497517,2.6647216196436414,2.89991223618118,1.5156210235096763,4.049012832315145,605.7827855912653,462.0847326965728,794.1677301848556
Aegialomys_xanthaeolus,2.811300609305975,0.054216169198141095,2.704896880945543,2.9177043376664074,1.5455946359010793,4.077006582710871,647.590709020384,506.8703424897693,827.3787027063796
Aepeomys_lugens,2.8715499637392834,0.045055857670575364,2.7831241064437338,2.959975821034833,1.6072284105170473,4.13587151696152,743.9606475034427,606.9097387644747,911.9600653640712
Aepeomys_reigi,2.8642716380350084,0.04591376889451844,2.7741620588133267,2.95438121725669,1.5998312108217123,4.128712065248305,731.5965318645195,594.5139626161698,900.2874938056761
Aepyceros_melampus,0.4266820013617352,0.0452750681721677,0.33782592527702804,0.5155380774464423,-0.8376697139299418,1.6910337166534122,2.6710498991708036,2.1768370735769698,3.2774651123232514
Aepyprymnus_rufescens,1.8212768392731888,0.08453311395961774,1.6553735925434472,1.9871800860029305,0.549186533917746,3.0933671446286315,66.26387655225727,45.22448110241521,97.09124856046816
Aeretes_melanopterus,2.1850894643530134,0.06419619226225821,2.059099113056087,2.31107981564994,0.9175866334592291,3.452592295246798,153.14028970939518,114.5774395941113,204.68207716419244
Aeromys_tephromelas,2.088771647599642,0.06458569343142648,1.9620168679557257,2.215526427243558,0.8211926039631465,3.356350691236137,122.67940122313797,91.6256076728418,164.25796092077238
Aeromys_thomasi,2.016274175887058,0.0649947221444534,1.8887166434718519,2.143831708302264,0.7486146073199718,3.283933744454144,103.8183628117196,77.39566630588044,139.26170509739407
Aethomys_bocagei,2.7878706991986997,0.058777490375952174,2.6725149997428046,2.9032263986545948,1.5213807485473756,4.0543606498500235,613.5792993976369,470.45165399125534,800.2513190362656
Aethomys_chrysophilus,2.8162680183006557,0.05330816932598722,2.7116463149924708,2.9208897216088405,1.5507106081027064,4.081825428498605,655.0402976122822,514.8092184269478,833.469518683209
Aethomys_granti,2.865438724640561,0.04577085631778198,2.775609623202892,2.95526782607823,1.601018254555972,4.12985919472515,733.5652071329561,596.4988671401036,902.1273010894512
Aethomys_hindei,2.7909159922662816,0.05816083348139108,2.676770533107163,2.9050614514254,1.5245357004303415,4.057296284102222,617.8968657250854,475.0841408116385,803.6398268749177
Aethomys_ineptus,2.8162680183006557,0.05330816932598722,2.7116463149924708,2.9208897216088405,1.5507106081027064,4.081825428498605,655.0402976122822,514.8092184269478,833.469518683209
Aethomys_kaiseri,2.8018716330945015,0.055999241150444905,2.691968478152183,2.91177478803682,1.5358666721365635,4.067876594052439,633.6823824450007,492.0038238933614,816.1590262522152
Aethomys_namaquensis,2.8470119219247483,0.04825028582035733,2.75231673446177,2.9417071093877265,1.5822364334555563,4.111787410393941,703.0916203600965,565.3491381745978,874.3938802431124
Aethomys_nyikae,2.81410047368544,0.05370160386844097,2.7087066224589864,2.9194943249118936,1.5484789972636077,4.079721950107272,651.7791652149601,511.3362974948397,830.7958623113341
Aethomys_silindensis,2.7878706991986997,0.058777490375952174,2.6725149997428046,2.9032263986545948,1.5213807485473756,4.0543606498500235,613.5792993976369,470.45165399125534,800.2513190362656
Aethomys_stannarius,2.7878706991986997,0.058777490375952174,2.6725149997428046,2.9032263986545948,1.5213807485473756,4.0543606498500235,613.5792993976369,470.45165399125534,800.2513190362656
Aethomys_thomasi,2.7878706991986997,0.058777490375952174,2.6725149997428046,2.9032263986545948,1.5213807485473756,4.0543606498500235,613.5792993976369,470.45165399125534,800.2513190362656
Agalmaceros_blicki,0.39316721836190416,0.04603646395393035,0.3028168399106582,0.4835175968131501,-0.8712903920743327,1.657624828798141,2.4726760273467363,2.00824567305745,3.0445113455201906
Ailuropoda_melanoleuca,-0.7847256579553148,0.10751954223465851,-0.9957416765080767,-0.5737096394025529,-2.063481935668036,0.49403061975740625,0.16416264544360812,0.10098533801971765,0.2668642269017494
Ailurops_melanotis,1.7027552598596276,0.09221634909302041,1.5217730269869119,1.8837374927323434,0.428610673747271,2.9768998459719844,50.43769833777931,33.248574262542505,76.5133985452972
Ailurops_ursinus,1.63595796908158,0.09673748007202534,1.4461026417116516,1.8258132964515084,0.3605227872575183,2.9113931509056417,43.24719744730302,27.932039126077218,66.95966873753557
Ailurus_fulgens,0.8034693022379963,0.20598073038928763,0.39921503625092897,1.2077235682250635,-0.5209593931898012,2.127897997665794,6.360178468298421,2.5073504333809864,16.133313321528945
Akodon_aerosus,2.833655178867531,0.05031991585848173,2.734898170814124,2.9324121869209376,1.568569093123365,4.0987412646116965,681.7971458834153,543.1229703204821,855.8786380559036
Akodon_affinis,2.9025954878093185,0.042371015458010176,2.8194388560179235,2.9857521196007135,1.6386315313949262,4.166559444223711,799.0896172341756,659.8403293173288,967.7253541506011
Akodon_albiventer,2.913017769056228,0.041858832296137606,2.8308663391968896,2.9951691989155664,1.6491195472314766,4.176915990880979,818.4982761134999,677.4329851091364,988.9383049348296
Akodon_aliquantulus,2.947732043795021,0.04168631794622409,2.865919187654519,3.0295448999355234,1.6838557835805565,4.211608304009486,886.6088127346101,734.3772045136166,1070.3970411762687
Akodon_azarae,2.9022813075531126,0.042389642099328335,2.819088119433368,2.9854744956728574,1.6383149455587114,4.166247669547514,798.5117434597639,659.3076568412545,967.1069307734064
Akodon_boliviensis,2.8948101456655198,0.04288618286122297,2.810642455120946,2.9789778362100936,1.6307792687343265,4.158841022596713,784.8924393494773,646.610057040073,952.7475402532958
Akodon_budini,2.89653935995506,0.042762192461131485,2.812615010853561,2.9804637090565596,1.6325246630167909,4.1605540568933295,788.0238465371993,649.5536250713387,956.0128043979169
Akodon_cursor,2.8656349396841554,0.04574702670042248,2.775852605846816,2.955417273521495,1.6012177912821282,4.130052088086183,733.8967081199299,596.8326946033441,902.4377904552077
Akodon_dayi,2.8817151319632637,0.043996153204423634,2.795369032566998,2.9680612313595294,1.6175373333191079,4.1458929306074195,761.579301239886,624.26506623462,929.0973713705265
Akodon_dolores,2.847166991943641,0.0482275284612352,2.752516467685276,2.9418175162020064,1.5823948466754834,4.111939137211799,703.3427124247291,565.6092035918238,874.6161978615412
Akodon_fumeus,2.9098465913679474,0.04199275067536596,2.8274323355831217,2.992260847152773,1.6459312590531594,4.1737619236827355,812.5434455198323,672.0975860813141,982.3377803016878
Akodon_iniscatus,2.8914621121361694,0.04314149285905902,2.806793354547221,2.976130869725118,1.6273977719163013,4.155526452356037,778.8648633952765,640.9045496274554,946.5223421870927
Akodon_juninensis,2.8674233336558617,0.045532473614753245,2.778062078042677,2.9567845892690463,1.6030360149482596,4.1318106523634635,736.9250738958758,599.8768165050652,905.2834675297983
Akodon_kofordi,2.8893069834343383,0.0433163364297373,2.8042950808376332,2.9743188860310434,1.6252196125271903,4.153394354341486,775.0094238915659,637.2283378427461,942.5814444381498
Akodon_leucolimnaeus,2.8911894584039377,0.0431631615743047,2.8064781741642677,2.9759007426436077,1.6271222689787204,4.155256647829155,778.3760389365841,640.4395949281916,946.0209249844069
Akodon_lindberghi,2.8980100948237464,0.042661003580782175,2.814284337291829,2.981735852355664,1.6340085678554725,4.16201162179202,790.6970068982173,652.0551619037581,958.8172799559526
Akodon_lutescens,2.91707640048827,0.0417158376510709,2.8352056094788485,2.9989471914976913,1.6531963887291066,4.180956412247433,826.183277820384,684.2355105016259,997.5787547910551
Akodon_mimus,2.9054812567113393,0.04220857026428962,2.822643437084687,2.9883190763379917,1.6415382350270813,4.1694242783955975,804.4170307590222,664.7271801527468,973.4621641715756
Akodon_molinae,2.880518347358118,0.04411220153372053,2.7939444934913724,2.967092201224864,1.6163249721669748,4.144711722549261,759.4835073987113,622.2207550108932,927.0266113198845
Akodon_mollis,2.886951244146532,0.04351672661816273,2.801546059186084,2.97235642910698,1.6228373634688606,4.151065124824203,770.8169288286438,633.2075130963259,938.331787731705
Akodon_montensis,2.857789610647062,0.04674332916502326,2.7660519505966,2.949527270697524,1.5932321165111218,4.122347104783002,720.7582309187845,583.5149005420749,890.2813397816865
Akodon_mystax,2.9258842941174636,0.041516580690409484,2.844404561418316,3.007364026816611,1.6620295538310021,4.189739034403925,843.1101042191793,698.8831365033572,1017.1008723903598
Akodon_neocenus,2.860871149104545,0.04634148241882981,2.7699221466198405,2.9518201515892497,1.596370623696668,4.125371674512422,725.8905609035282,588.738106328217,894.994057196438
Akodon_oenos,2.902910932375796,0.04235249907974457,2.819790640512366,2.986031224239226,1.6389493662578638,4.166872498493728,799.6702371913977,660.375025571983,968.3474745215691
Akodon_orophilus,2.8674233336558617,0.045532473614753245,2.778062078042677,2.9567845892690463,1.6030360149482596,4.1318106523634635,736.9250738958758,599.8768165050652,905.2834675297983
Akodon_paranaensis,2.8648530093203184,0.045842327829368146,2.774883639113815,2.9548223795268216,1.6004225662831424,4.129283452357495,732.5765443809182,595.5025686478557,901.2024827964108
Akodon_pervalens,2.8319749128907548,0.05059488209050678,2.7326782608032265,2.931271564978283,1.5668465862694485,4.097103239512061,679.16439941411,540.3538632597681,853.6337255902655
Akodon_philipmyersi,2.925041405684466,0.04152902170472975,2.843537256462944,3.0065455549059874,1.661185091048914,4.188897720320018,841.4753641762329,697.4888292148993,1015.1858479404564
Akodon_reigi,2.862931641832439,0.04608031577004929,2.7724952005552974,2.9533680831095803,1.5984678789611146,4.127395404703763,729.3427023151193,592.236541957053,898.1897261228019
Akodon_sanctipaulensis,2.8959587064186447,0.042803224525029424,2.811953828488834,2.9799635843484555,1.6319386602089982,4.159978752628291,786.9709593767988,648.5654784006847,954.9125131199478
Akodon_serrensis,2.8925623108138625,0.04305539279986493,2.8080625317316175,2.9770620898961075,1.6285092777615373,4.1566153438661875,780.8404639295994,642.7802611344546,948.5540657917848
Akodon_siberiae,2.8768069858597203,0.044487049866460834,2.789497461052678,2.9641165106667624,1.6125630177800359,4.141050953939405,753.0208231940718,615.8819285714483,920.6965391550622
Akodon_simulator,2.8606864897282507,0.0463651849823484,2.7696909689969162,2.951682010459585,1.5961826176515372,4.125190361804965,725.5819822527991,588.4248008090584,894.7094212311056
Akodon_spegazzinii,2.8917357175412985,0.04311988055755922,2.807109375886416,2.9763620591961812,1.627674217690234,4.155797217392363,779.3557026448134,641.3710838132464,947.026341807844
Akodon_subfuscus,2.886951244146532,0.04351672661816273,2.801546059186084,2.97235642910698,1.6228373634688606,4.151065124824203,770.8169288286438,633.2075130963259,938.331787731705
Akodon_surdus,2.8674233336558617,0.045532473614753245,2.778062078042677,2.9567845892690463,1.6030360149482596,4.1318106523634635,736.9250738958758,599.8768165050652,905.2834675297983
Akodon_sylvanus,2.8674233336558617,0.045532473614753245,2.778062078042677,2.9567845892690463,1.6030360149482596,4.1318106523634635,736.9250738958758,599.8768165050652,905.2834675297983
Akodon_toba,2.8460878891936368,0.04838652082713064,2.7511253292314892,2.9410504491557843,1.5812923541373183,4.1108834242499555,701.5972679399684,563.8003345402734,873.0727816651664
Akodon_torques,2.8674233336558617,0.045532473614753245,2.778062078042677,2.9567845892690463,1.6030360149482596,4.1318106523634635,736.9250738958758,599.8768165050652,905.2834675297983
Akodon_varius,2.865438724640561,0.04577085631778198,2.775609623202892,2.95526782607823,1.601018254555972,4.12985919472515,733.5652071329561,596.4988671401036,902.1273010894512
Alcelaphus_buselaphus,0.1302967215575892,0.052552099248278326,0.027158868480061146,0.23343457463511724,-1.1351388850385253,1.3957323281537037,1.3498848448817697,1.064532361668071,1.7117272898929978
Alces_alces,-0.05444763379376916,0.057586411474696196,-0.16746574212621362,0.058570474538675296,-1.3207268093766573,1.211831541789119,0.8821701657258255,0.6800396855533879,1.1443805675303258
Allactaga_balikunica,2.0794577766488445,0.045752686572059255,1.9896643348440277,2.1692512184536614,0.8150398394560074,3.3438757138416815,120.07643255988484,97.64822084796131,147.65604054126095
Allactaga_bullata,2.033696593034148,0.0447268557614808,1.9459164292703088,2.121476756797987,0.76942003513463475,3.297973150933661,108.06787033716604,88.29099868354994,132.2746913427592
Allactaga_elater,2.1311743793709073,0.046951938657936135,2.0390273058899946,2.22332145285182,0.8665871183031186,3.395761640438696,135.26155608915712,109.4025149994963,167.23279675740937
Allactaga_euphratica,2.088265403993648,0.0459540145137695,1.9980768394064965,2.1784539685807998,0.823819345481809,3.3527114625054875,122.53648096561406,99.55815492883056,150.81827478793625
Allactaga_firouzi,2.00228169252963,0.044043088278902,1.9158434791572345,2.0887199059020256,0.7380975989598499,3.26646578609941,100.52676165677892,82.38411470443617,122.66478611142585
Allactaga_hotsoni,2.0659784775575956,0.04544696239660537,1.9767850448017272,2.155171910313464,0.8016030087388548,3.330353946376336,116.40683399494245,94.79491572349276,142.94596811765393
Allactaga_major,1.6843099687590513,0.038259993419244104,1.6092215586580891,1.7593983788600134,0.42085117361164937,2.947768763906453,48.340369839661776,40.66507322439365,57.46433415576679
Allactaga_severtzovi,1.8823496268047237,0.04160144874493781,1.8007033335102027,1.9639959200992447,0.6184841375565326,3.1462151160529146,76.26927652965021,63.19799984597499,92.04409247972
Allactaga_sibirica,2.0050975383441263,0.04410367231748215,1.9185404237716015,2.091654652916651,0.7409053093745934,3.2692897673136594,101.1806670744974,82.89730728110132,123.4965009771096
Allactaga_tetradactyla,2.1628730465805144,0.047706622427789336,2.0692448436130824,2.2565012495479464,0.8981769968931812,3.4275690962678476,145.50336814331263,117.28564042636833,180.50999307404234
