Species_Name	Order	Family	Mass	IUCN	Individuals_per_kilometer_ByClade	Eurasia	Africa	North_America	South_America	Australia	Madagascar	Honshu	Sulawesi	South_Island	Cuba	Luzon	Hispaniola	New_Britain	Timor	Sardinia	Halmahera	Seram	New_Caledonia	Flores	Negros	Palawan	Jamaica	Sumba	Viti_Levu	Hawaii_Big_Island	Mindoro	Cyprus	Bougainville_Island	Puerto_Rico	Buru	Crete	New_Ireland	Falkland_Islands	Vanua_Levu	Guadalcanal	Isla_Isabella	Nias	Espiritu_Santo	Malaita	Siberut	Socotra	Majorca	Andros_Island	South_Georgia	San_Cristobal	Yamdena	Waigeo	Taliabu	Wetar	Biak	Obira	Reunion	Alor_Island	New_Georgia	Tenerife	Manus_Island	Maui	Mauitius	Simeulue	Savaii	Fuerteventura	Oahu	Inagua	Gran_Canaria	Middle_Andaman	Basse_Terre_Guadeloupe	Kauai	Fergusson_Island	Rote_Island	Okinawa_Island	Great_Abaco	Lifou_Island	Martinique	Tahiti	Grande_Comore	Santiago	Isla_Santa_Cruz	Pemba	Great_Nicobar	Isla_Angel_de_la_Guarda	Chatham_Islands	Efate	Madau_Island	Sado_Island	Jolo_Island	Sao_Tome	Vanatinai_Island_AKA_Sudest_Island	Karakelong	Santo_Antao	Sao_Miguel_Island	Dominica	Madeira	Amami_Ishima	Rennell_Island	Ambrym	Tablas_Island	Selayar_Island	Vella_Lavella	Saint_Lucia	Santiago_Island	Ibiza	Isla_San_Cristobal	Tanna_Island	Great_Kai_Island	Sangihe	Guam	Nendo	Cozumel	Taveuni_Island	Kiritimati	Sibuyan	Kadavu_Island	Curacao	Barbados	Anjouan	Enggano_Island	Babelthuap	Mayotte	Leti	Nuku_Hiva	Pohnpei	Saint_Vincent_Antilles	Numfor	Mussau_Island	Hiva_Oa	Grenada	Karpathos	Rossel_Island	Iriomote_Island	Antigua	Tongatapu	Niue	Isla_Guadalupe_Mexico	Channel_Islands	Tokunoshima	Camiguin	Moheli	Grand_Cayman	Damar_Island	Niihau	Calayan_Island	Vanikoro	Floreana_Island	Saint_Kitts	Raiatea	Socorro_Island	Roatan	Easter_Island	Miyakojima	Katchal_Island	Tanah_Jampea	Mahe	Isla_Maria_Madre	Kofiau	Gebe_Island	Isla_Carmen	Flores_Island_Azores	Christmas_Island	Ouvea_Island	Abd_Al_Kuri	Moorea	Saint_Helena	Macquarie_Island	Tatau_Island	Saipan	Siau_Island	Ilha_Do_Principe	Aldabra	Ua_Pou	Dyaul_Island	Campbell_Island	Vavau	Kosrae	Tristan_De_Cunha	Rodrigues	Tinian	Ascension_Island	Montserrat	log10_Density	log10_Density_CI_lwr	log10_Density_CI_upr
Ondatra_zibethicus	Rodentia	Cricetidae	1065.7	LC	402.741	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5601455690062793	1.8365198437992512	3.297436056317134
Oryctolagus_cuniculus	Lagomorpha	Leporidae	1958.3	NT	41.755	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2.0286160016953487	1.4176227850498238	2.6311169807674233
Otolemur_garnettii	Primates	Galagidae	760	LC	30.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5815782008765378	1.0366563789874297	2.1203666977919573
Ovis_orientalis	Cetartiodactyla	Bovidae	6e4	VU	2.392	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.14864089763438568	-0.27639304991924996	0.5988289024023292
Ovis_canadensis	Cetartiodactyla	Bovidae	74644.9	LC	2.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12740076127419436	-0.30087877324592915	0.5463222631244435
Paguma_larvata	Carnivora	Viverridae	4300	LC	0.355	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.010091727923465499	-0.9866599243930168	0.9609029553348086
Paradoxurus_hermaphroditus	Carnivora	Viverridae	3156.7	LC	0.442	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06558098491554365	-0.9482494195498674	0.9972113809775032
Pecari_tajacu	Cetartiodactyla	Tayassuidae	21266.7	LC	4.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.746402833979493	0.13825239841089187	1.3266441668473656
Petrogale_penicillata	Diprotodontia	Macropodidae	7100	VU	48.587	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.846844624648293	1.4331872211655934	2.252309557263758
Phalanger_orientalis	Diprotodontia	Phalangeridae	2168.8	LC	76.249	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.071159206081738	1.1310734287287334	3.0063898877355877
