Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.geo.mean,density.mean,lower.95hpd,upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,2.672180065485199,0.306065714393111,2.068789681192722,3.253778508609148,470.0889746633808,597.7569527932322,117.16278357830963,1793.8185410707852
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,2.7744164064478003,0.35107061400285505,2.095047846928633,3.459682148108288,594.8622458998564,827.8193322716221,124.46517295211264,2881.9215074134618
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,2.5539313944575395,0.33998673742799007,1.888530090945034,3.225023840206912,358.03987304071705,488.1595439577658,77.36242789936297,1678.8961770961569
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,2.4088669519888897,0.3563724134504827,1.6896114191795102,3.0835343985429686,256.3698515963908,357.2508448299303,48.934079045970314,1212.0886891512446
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,2.6082402618391285,0.45089221296133253,1.686448723206973,3.4878489013353056,405.73293429599613,706.1221095461136,48.5790170704583,3075.026772879928
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.4282548558526105,0.45823412367935856,1.4792813009260355,3.2828040183506717,268.07409952965685,462.17530731975324,30.149582385712865,1917.8031090547825
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,2.5107816113852715,0.4579406315214662,1.6535148891393043,3.409857416757705,324.1765614588923,570.1655032226555,45.03134193481619,2569.5520345185732
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,2.529560683736971,0.4626119971944369,1.6871446843139837,3.502800651282503,338.50156720590513,594.6289742960225,48.65692782478317,3182.7362551047404
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,2.4899941462099617,0.4598883792061659,1.5661665403327056,3.355590227732474,309.025377916671,541.842624663655,36.82701683407345,2267.724163848845
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,2.5043977108299074,0.4515828874074487,1.6815290479481786,3.4257998864425407,319.44618861271846,550.2643833959961,48.03182054273949,2665.6301164674974
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,2.4991018773060323,0.4639759877598551,1.6165555033832686,3.4132383614618123,315.57448148525907,565.3858821326277,41.3576166526644,2589.6338393668375
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,2.9587080669417145,0.2701021567495821,2.4589421378956025,3.504846673159408,909.3018338138504,1106.9227465096396,287.7015077521385,3197.7659451952263
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,2.7366349512484818,0.26760316991217203,2.2276605858291005,3.281689780180671,545.2993138926431,663.6163295574331,168.91203174416395,1912.8890458407163
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,2.782563315201406,0.2723559938642482,2.2362754405470953,3.301234116225824,606.1265604522332,741.1711132989196,172.29609739725788,2000.940230865024
Abrothrix_lanosus,Rodentia,Cricetidae,1.5118833609788744,2.7996646295654117,0.27730025530290736,2.250838378813977,3.3294864931542083,630.4702953322408,776.7204931901528,178.17155847763547,2135.4356715521167
Abrothrix_longipilis,Rodentia,Cricetidae,1.575187844927661,2.8427109938890767,0.25205569581435117,2.380158311167644,3.3563146964294157,696.1630904329854,825.5834822120669,239.97075128285243,2271.5102267606685
Abrothrix_olivaceus,Rodentia,Cricetidae,1.4313637641589874,2.907108140378567,0.2556747004998004,2.416100541850404,3.4053204033788513,807.4360587550705,963.9831864674883,260.675696045909,2542.848015195633
Abrothrix_sanborni,Rodentia,Cricetidae,1.3926969532596658,2.8767486282592136,0.2732763050743659,2.3050134500424617,3.379607776612887,752.9196440682654,921.5777421125615,201.8428873187902,2396.667444501608
Acinonyx_jubatus,Carnivora,Felidae,4.669316880566112,-1.267494543245366,0.24147119061286942,-1.730290458052962,-0.7987510499882291,0.05401389013738585,0.06292781648611646,0.01860842180986855,0.15894576100452473
Acomys_airensis,Rodentia,Muridae,1.6839471307515121,3.012249151983865,0.28424009785274873,2.46819676537104,3.5848466264636403,1028.60623374755,1282.631737363897,293.8980911535041,3844.5598527680963
Acomys_cahirinus,Rodentia,Muridae,1.7201593034059568,3.006199937516595,0.27662465755857085,2.476415913824429,3.5494946326622543,1014.3782707727479,1250.4991902151728,299.51316321537837,3544.0075030298744
Acomys_cilicicus,Rodentia,Muridae,1.6283889300503116,3.0318057421950018,0.29480274900279135,2.455695426502543,3.6007909098241435,1075.9838236562045,1356.2940234161667,285.55871994137595,3988.328388900558
Acomys_cineraceus,Rodentia,Muridae,1.307496037913213,3.184825196406491,0.297042403546495,2.5953101591433727,3.757718826676987,1530.4713227574825,1937.581160317743,393.8312366414063,5724.253082484839
Acomys_dimidiatus,Rodentia,Muridae,1.5740312677277188,3.0655772197523565,0.28153203367610946,2.508427142963151,3.594595599909884,1162.99331870659,1440.1252415596086,322.4238377238552,3931.8378572078673
Acomys_ignitus,Rodentia,Muridae,1.380211241711606,3.1370127223470683,0.30305875361159024,2.5647169404265093,3.735277118296719,1370.921925756574,1761.3646193589375,367.04299536487036,5435.970838769001
Acomys_johannis,Rodentia,Muridae,1.2671717284030137,3.2012384042937363,0.2933307862830749,2.6173538150121067,3.77027972658778,1589.4190146474862,2002.6028594528113,414.3370932991755,5892.2304834990955
