"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Genus.1.1","Species.1.1","Genus.1.0","Species.1.0","EltonTraits.1.0.Genus","EltonTraits.1.0.Species","EltonTraits.1.0.Status","Departure.From.IUCN.2016.3.Taxonomy","Intrafamily.Ages.Generated.From.Genetic.Data","Analyzed.Intrafamily.Phylogeny","Included.In.Small.Tree","Hierachical.Level","Markers","Bases","Placement","Placement.Source","Taxonomy.Source","Dating.Source"
"Dipodomys_simulans","Rodentia","Heteromyidae","Dipodomys","simulans","Dipodomys","simulans","Dipodomys","simulans","Dipodomys","simulans","000 Exact match","000 None","Yes","Version 1.1","Yes","3",1,1138,NA,NA,NA,NA
"Dipodomys_spectabilis","Rodentia","Heteromyidae","Dipodomys","spectabilis","Dipodomys","spectabilis","Dipodomys","spectabilis","Dipodomys","spectabilis","000 Exact match","000 None","Yes","Version 1.1","Yes","2",2,2292,NA,NA,NA,NA
"Dipodomys_stephensi","Rodentia","Heteromyidae","Dipodomys","stephensi","Dipodomys","stephensi","Dipodomys","stephensi","Dipodomys","stephensi","000 Exact match","000 None","Yes","Version 1.1","Yes","3",1,1140,NA,NA,NA,NA
"Dipodomys_venustus","Rodentia","Heteromyidae","Dipodomys","venustus","Dipodomys","venustus","Dipodomys","venustus","Dipodomys","venustus","000 Exact match","000 None","Yes","Version 1.1","Yes","3",1,1140,NA,NA,NA,NA
"Diprotodon_optatum","Diprotodontia","Diprotodontidae","Diprotodon","optatum","Diprotodon","optatum","Diprotodon","opatum","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Accepted by us but not by EltonTraits 1.0","000 Added","No","Version 1.0","Yes","4",0,0,"Sister to (Maokopia ronaldi and Zygomaturus trilobus)","Australian Mammalogy 21, 1:45 (1999)","Science 292: 1888-1892 (2001)","Science 292: 1888-1892 (2001)"
"Dipus_sagitta","Rodentia","Dipodidae","Dipus","sagitta","Dipus","sagitta","Dipus","sagitta","Dipus","sagitta","000 Exact match","000 None","No","Version 1.0","Yes","2",4,3517,NA,NA,NA,NA
"Distoechurus_pennatus","Diprotodontia","Acrobatidae","Distoechurus","pennatus","Distoechurus","pennatus","Distoechurus","pennatus","Distoechurus","pennatus","000 Exact match","000 None","No","Version 1.0","Yes","4",NA,NA,"Genus sister to another genus in the family","Taxonomy",NA,NA
"Dobsonia_anderseni","Chiroptera","Pteropodidae","Dobsonia","anderseni","Dobsonia","anderseni","Dobsonia","anderseni","Dobsonia","anderseni","000 Exact match","000 None","No","Version 1.0","Yes","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_beauforti","Chiroptera","Pteropodidae","Dobsonia","beauforti","Dobsonia","beauforti","Dobsonia","beauforti","Dobsonia","beauforti","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
"Dobsonia_chapmani","Chiroptera","Pteropodidae","Dobsonia","chapmani","Dobsonia","chapmani","Dobsonia","chapmani","Dobsonia","chapmani","000 Exact match","000 None","No","Version 1.0","No","4",0,0,"Dobsonia viridis and Dobsonia crenulata sisters. Combined part of four-way polytomy with Dobsonia praedatrix, Dobsonia inermis and Dobsonia beauforti. All  in 8 way polytomy with an unresolved tritomy (anderseni, magma and moluccensis) and the rest unresolved","Nature 446, 507-512 (2007)",NA,NA
